Date,MBS Total PAR Value,MBS Weighted Average,Treasury Total PAR Value,Treasury Weighted Average
03/02/2020,112100000000,  1.657,42700000000,  1.695 
03/03/2020,96200000000,  1.703,58300000000,  1.720 
03/04/2020,90350000000,  1.305,53200000000,  1.245 
03/05/2020,107950000000,  1.189,48400000000,  1.168 
03/06/2020,86950000000,  1.169,47800000000,  1.146 
03/09/2020,113400000000,  1.190,56000000000,  1.163 
03/10/2020,63600000000,  1.207,61580000000,  1.181 
03/11/2020,87700000000,  1.255,52676000000,  1.191 
03/12/2020,76450000000,  1.309,85370000000,  1.194 
03/13/2020,90200000000,  1.149,63216000000,  1.158 
03/16/2020,91000000000,  0.529,69866000000,  0.859 
03/17/2020,112050000000,  0.791,70560000000,  0.638 
03/18/2020,84100000000,  0.207,43348000000,  0.154 
03/19/2020,67500000000,  0.163,34800000000,  0.103 
03/20/2020,98500000000,  0.108,29300000000,  0.074 
03/23/2020,71120000000,  0.087,40550000000,  0.068 
03/24/2020,64520000000,  0.063,41966000000,  0.061 
03/25/2020,58256000000,  0.080,31220000000,  0.094 
03/26/2020,46950000000,  0.084,30202000000,  0.089 
03/27/2020,49650000000,  0.068,46530000000,  0.050 
03/30/2020,66150000000,  0.065,43242000000,  0.048 
03/31/2020,40000000000,  0.011,31350000000,  0.002 
04/01/2020,91700000000,  0.052,49500000000,  0.052 
04/02/2020,60450000000,  0.080,57076000000,  0.089 
04/03/2020,73870000000,  0.074,51568000000,  0.060 
04/06/2020,73700000000,  0.069,44400000000,  0.068 
04/07/2020,75800000000,  0.075,36084000000,  0.080 
04/08/2020,70150000000,  0.089,26750000000,  0.095 
04/09/2020,71020000000,  0.126,23960000000,  0.106 
04/13/2020,75650000000,  0.122,24940000000,  0.112 
04/14/2020,78900000000,  0.133,42602000000,  0.095 
04/15/2020,83700000000,  0.099,46600000000,  0.078 
04/16/2020,82250000000,  0.104,41450000000,  0.111 
04/17/2020,61110000000,  0.101,56080000000,  0.088 
04/20/2020,74730000000,  0.086,47532000000,  0.060 
04/21/2020,62240000000,  0.053,49510000000,  0.040 
04/22/2020,44690000000,  0.050,36086000000,  0.050 
04/23/2020,46710000000,  0.073,34924000000,  0.091 
04/24/2020,51700000000,  0.118,48630000000,  0.097 
04/27/2020,75260000000,  0.096,45620000000,  0.084 
04/28/2020,68600000000,  0.069,46270000000,  0.060 
04/29/2020,78700000000,  0.083,46950000000,  0.075 
04/30/2020,55400000000,  0.110,43700000000,  0.106 
05/01/2020,71000000000,  0.112,20324000000,  0.111 
05/04/2020,70450000000,  0.128,20700000000,  0.098 
05/05/2020,57700000000,  0.121,29600000000,  0.104 
05/06/2020,59650000000,  0.123,27900000000,  0.109 
05/07/2020,69800000000,  0.129,45650000000,  0.119 
05/08/2020,53250000000,  0.130,49170000000,  0.120 
05/11/2020,65550000000,  0.130,46200000000,  0.118 
05/12/2020,60250000000,  0.132,49300000000,  0.117 
05/13/2020,39650000000,  0.062,52710000000,  0.057 
05/14/2020,68850000000,  0.084,36900000000,  0.086 
05/15/2020,55000000000,  0.113,41380000000,  0.105 
05/18/2020,69030000000,  0.090,46500000000,  0.079 
05/19/2020,52380000000,  0.081,42800000000,  0.084 
05/20/2020,58650000000,  0.045,45600000000,  0.025 
05/21/2020,41950000000,  0.047,56660000000,  0.064 
05/22/2020,36850000000,  0.102,40500000000,  0.104 
05/26/2020,78950000000,  0.120,53750000000,  0.115 
05/27/2020,51150000000,  0.101,43600000000,  0.102 
05/28/2020,58500000000,  0.125,31800000000,  0.126 
05/29/2020,35250000000,  0.104,44380000000,  0.096 
06/01/2020,81000000000,  0.121,38200000000,  0.118 
06/02/2020,68600000000,  0.127,33750000000,  0.125 
06/03/2020,52650000000,  0.118,37700000000,  0.115 
06/04/2020,59000000000,  0.125,56830000000,  0.114 
06/05/2020,81550000000,  0.124,43610000000,  0.119 
06/08/2020,60700000000,  0.125,48150000000,  0.124 
06/09/2020,65950000000,  0.128,51800000000,  0.125 
06/10/2020,68900000000,  0.128,40520000000,  0.121 
06/11/2020,75700000000,  0.112,38550000000,  0.112 
06/12/2020,75000000000,  0.126,71538000000,  0.125 
06/15/2020,50550000000,  0.129,50050000000,  0.130 
06/16/2020,62000000000,  0.135,46700000000,  0.134 
06/17/2020,62300000000,  0.131,62450000000,  0.120 
06/18/2020,62900000000,  0.124,50050000000,  0.122 
06/19/2020,71300000000,  0.124,55850000000,  0.123 
06/22/2020,70440000000,  0.116,38250000000,  0.117 
06/23/2020,44400000000,  0.108,47200000000,  0.110 
06/24/2020,64230000000,  0.123,49500000000,  0.121 
06/25/2020,79800000000,  0.129,65364000000,  0.125 
06/26/2020,68600000000,  0.125,48300000000,  0.126 
06/29/2020,90000000000,  0.129,50700000000,  0.123 
06/30/2020,46500000000,  0.131,55150000000,  0.129 
07/01/2020,97150000000,  0.132,70200000000,  0.134 
07/02/2020,70050000000,  0.146,45000000000,  0.149 
07/06/2020,57250000000,  0.147,41500000000,  0.142 
07/07/2020,73700000000,  0.144,35950000000,  0.136 
07/08/2020,48900000000,  0.142,40900000000,  0.132 
07/09/2020,59800000000,  0.140,56600000000,  0.138 
07/10/2020,66200000000,  0.147,44600000000,  0.144 
07/13/2020,51350000000,  0.146,37800000000,  0.139 
07/14/2020,62500000000,  0.142,50300000000,  0.141 
07/15/2020,54600000000,  0.169,35000000000,  0.151 
07/16/2020,69100000000,  0.143,37400000000,  0.139 
07/17/2020,65100000000,  0.144,56500000000,  0.143 
07/20/2020,67950000000,  0.142,43400000000,  0.136 
07/21/2020,58700000000,  0.138,59600000000,  0.130 
07/22/2020,46100000000,  0.126,33050000000,  0.115 
07/23/2020,60030000000,  0.133,27000000000,  0.125 
07/24/2020,62700000000,  0.133,43000000000,  0.133 
07/27/2020,55400000000,  0.137,54000000000,  0.135 
07/28/2020,46500000000,  0.133,52450000000,  0.122 
07/29/2020,56250000000,  0.118,48350000000,  0.115 
07/30/2020,42700000000,  0.117,42500000000,  0.113 
07/31/2020,65250000000,  0.137,57500000000,  0.134 
08/03/2020,68000000000,  0.131,37250000000,  0.129 
08/04/2020,92800000000,  0.133,53450000000,  0.124 
08/05/2020,50100000000,  0.128,42150000000,  0.127 
08/06/2020,69800000000,  0.131,51850000000,  0.129 
08/07/2020,72630000000,  0.129,26400000000,  0.123 
08/10/2020,76200000000,  0.132,26530000000,  0.128 
08/11/2020,68200000000,  0.132,51900000000,  0.131 
08/12/2020,76900000000,  0.131,41250000000,  0.129 
08/13/2020,77850000000,  0.128,40400000000,  0.128 
08/14/2020,52750000000,  0.129,37950000000,  0.127 
08/17/2020,73850000000,  0.132,42300000000,  0.130 
08/18/2020,56800000000,  0.128,39300000000,  0.118 
08/19/2020,50150000000,  0.125,29300000000,  0.090 
08/20/2020,53100000000,  0.111,38100000000,  0.112 
08/21/2020,70900000000,  0.119,45900000000,  0.112 
08/24/2020,85300000000,  0.128,38650000000,  0.105 
08/25/2020,88550000000,  0.129,27200000000,  0.107 
08/26/2020,72450000000,  0.118,31250000000,  0.095 
08/27/2020,77750000000,  0.120,27750000000,  0.098 
08/28/2020,50050000000,  0.122,29250000000,  0.101 
08/31/2020,88100000000,  0.133,37000000000,  0.123 
09/01/2020,88100000000,  0.132,33650000000,  0.132 
09/02/2020,70900000000,  0.132,33700000000,  0.128 
09/03/2020,101000000000,  0.135,44500000000,  0.132 
09/04/2020,82000000000,  0.132,40600000000,  0.130 
09/08/2020,77000000000,  0.135,48440000000,  0.129 
09/09/2020,78100000000,  0.130,34600000000,  0.125 
09/10/2020,78900000000,  0.137,40630000000,  0.129 
09/11/2020,70400000000,  0.134,39230000000,  0.128 
09/14/2020,80000000000,  0.128,30780000000,  0.112 
09/15/2020,71250000000,  0.139,33000000000,  0.129 
09/16/2020,63700000000,  0.138,26550000000,  0.122 
09/17/2020,52800000000,  0.135,32850000000,  0.127 
09/18/2020,51850000000,  0.122,23550000000,  0.093 
09/21/2020,73900000000,  0.121,58010000000,  0.080 
09/22/2020,62460000000,  0.107,48250000000,  0.077 
09/23/2020,37740000000,  0.096,52850000000,  0.072 
09/24/2020,59100000000,  0.120,35850000000,  0.109 
09/25/2020,47500000000,  0.128,42300000000,  0.116 
09/28/2020,66450000000,  0.126,67800000000,  0.102 
09/29/2020,60800000000,  0.121,30950000000,  0.103 
09/30/2020,49250000000,  0.129,24000000000,  0.116 
10/01/2020,62000000000,  0.125,70890000000,  0.117 
10/02/2020,55680000000,  0.133,56750000000,  0.130 
10/05/2020,57750000000,  0.133,63640000000,  0.121 
10/06/2020,61720000000,  0.130,38500000000,  0.124 
10/07/2020,60150000000,  0.128,61500000000,  0.095 
10/08/2020,56250000000,  0.126,37900000000,  0.121 
10/09/2020,59900000000,  0.129,49800000000,  0.118 
10/13/2020,64500000000,  0.136,42800000000,  0.127 
10/14/2020,40300000000,  0.123,36400000000,  0.113 
10/15/2020,64450000000,  0.136,55000000000,  0.131 
10/16/2020,52150000000,  0.125,46270000000,  0.116 
10/19/2020,57750000000,  0.122,41200000000,  0.116 
10/20/2020,36000000000,  0.120,48980000000,  0.114 
10/21/2020,41550000000,  0.111,52180000000,  0.095 
10/22/2020,39050000000,  0.108,46380000000,  0.101 
10/23/2020,88050000000,  0.136,40980000000,  0.121 
10/26/2020,62150000000,  0.143,46150000000,  0.123 
10/27/2020,49750000000,  0.137,43150000000,  0.114 
10/28/2020,39900000000,  0.125,47360000000,  0.102 
10/29/2020,41600000000,  0.127,46210000000,  0.118 
10/30/2020,55550000000,  0.134,53600000000,  0.115 
11/02/2020,51400000000,  0.133,74850000000,  0.126 
11/03/2020,35900000000,  0.129,65900000000,  0.130 
11/04/2020,42200000000,  0.131,55700000000,  0.127 
11/05/2020,42600000000,  0.142,58400000000,  0.132 
11/06/2020,24300000000,  0.136,54600000000,  0.124 
11/09/2020,37700000000,  0.131,52290000000,  0.115 
11/10/2020,46700000000,  0.137,63400000000,  0.123 
11/12/2020,29150000000,  0.128,52100000000,  0.113 
11/13/2020,28600000000,  0.121,58350000000,  0.112 
11/16/2020,32700000000,  0.136,62950000000,  0.127 
11/17/2020,30550000000,  0.118,54790000000,  0.111 
11/18/2020,23100000000,  0.091,43890000000,  0.083 
11/19/2020,19600000000,  0.080,57040000000,  0.073 
11/20/2020,26680000000,  0.069,58600000000,  0.068 
11/23/2020,20342000000,  0.057,54520000000,  0.067 
11/24/2020,40500000000,  0.111,62150000000,  0.110 
11/25/2020,31600000000,  0.115,48650000000,  0.107 
11/27/2020,22400000000,  0.122,53500000000,  0.110 
11/30/2020,69500000000,  0.124,41900000000,  0.110 
